"region","region_jpn","type","country","producer","producer_jpn","vintage","store_price","name","name_jpn","sort_order","general_region","aoc_order"
"Western Cape","西ケープ州","3","10","Newton Johnson Vineyards","ニュートン・ジョンソン・ヴィンヤード","2012","5400","W.O. Upper Hemel en AArde Valley Southend Chardonny","W.O. アッパー・ヘメル・エン・アード•ヴァレー・サウスエンド・シャルドネ","970","31","0"
"Western Cape","西ケープ州","5","10","Newton Johnson Vineyards","ニュートン・ジョンソン・ヴィンヤード","2012","7500","W.O. Upper Hemel en AArde Valley Family Vineyards","W.O. アッパー・ヘメル・エン・アード・ヴァレー・ファミリー・ヴィンヤード","971","31","0"
"Western Cape","西ケープ州","1","10","Graham Beck Wines","グラハム・ベック・ワインズ","2009","4800","W.O. Western Cape Brut Blanc de Blancs","W.O. ロバートソン•ブリュット・ブラン・ドゥ・ブラン","972","5","0"
"Vallée du Rhône / Vignoble Méridional","ローヌ河流域 / ローヌ地方南部の栽培地域","5","1","Dom. du Pegau","ドメーヌ・デュ・ペゴー","2009","21600","Chateauneuf-du-Pape Cuvée Laurence","シャトーヌッフ・デュ・パプ・キュヴェ・ローレンス","973","14","50"
"Vallée du Rhône / Vignoble Méridional","ローヌ河流域 / ローヌ地方南部の栽培地域","5","1","Dom. du Pegau","ドメーヌ・デュ・ペゴー","2008","17000","Chateauneuf-du-Pape Cuvée Laurence","シャトーヌッフ・デュ・パプ・キュヴェ・ローレンス","974","14","50"
"California / Santa Barbara","カルフォルニア州/ / サンタ・バーバラ","5","6","Sin Qua Non","シン・クア・ノン","2011","35000","Syrah ""Darak Blossom""","シラー・ダーク・ブロッサンム","975","22","5"
"California / Santa Barbara","カルフォルニア州/ / サンタ・バーバラ","3","6","Sin Qua Non","シン・クア・ノン","2011","30000","White the Moment","ホワイト・ザ・モーメント","976","22","5"
"Bordeaux  / AC Bordeaux Clairet","ボルドー地方  / ACボルドー・クラレット","4","1","","","2009","4320","Ch. Haut-Colombier","シャトー・オゥ・コロンビエ","977","9","0"
"Champagne / Valée de la Marne","シャンパーニュ地方 / ヴァレ・ド・ラ・マルヌ地区","1","1","Ferebrianges","フェレブリアンジュ","S.A.","6500","Alberiv & Xavier Duvat Brut Tradition","アルヴェリック・エ・クサヴィエ・ブリュット・トラディション　","978","1","2"
"Alsace ","アルザス地方 / クレマン","1","1","Dom. André Kientzler","ドメーヌ・アンドレ・キンツレー","2010","5800","Crémant d'Alsace Brut Cuvée Millesime","クレマン・ダルザス・ブリュット・キュヴェ・ミレジム","979","3","8"
"Alsace / Sylvaner","アルザス地方  / シルヴァネール","3","1","Dom. Agathe Bursin","ドメーヌ・アガット・ブルサン","2012","6300","Sylvaner Cuvée Eminence","シルヴァネール・キュヴェ・エミネンス","980","7","6"
"Vallée de la Loire / Anjou & Saumur","ロワール河流域  /  アンジュー＆ソミュール地区","3","1","Château de Villeneuve","シャトー・ド・ヴィルヌーヴ","2009","6300","Saumur Cuvée les Cormiers","ソミュール・キュヴェ・レ・コルミエ","981","8","102"
"Savoie","サヴォワ地方","3","1","Dom. Giachino","ドメーヌ・ジャッキーノ","2011","5040","Vin de Savoie Cuvée Marius & Simone","ヴァン・ドゥ・サヴォワ・キュヴェ・マリウス・エ・シモーヌ","982","13","1"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Armand Rousseau","ドメーヌ・アルマン・ルソー","2009","18000","Charmes-Chambertin Grand Cru","シャルム・シャンベルタン・グラン・クリュ","983","11","212"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Armand Rousseau","ドメーヌ・アルマン・ルソー","2009","16800","Gevrey-Chambertin 1er Cru les Cazetiere","ジュヴレ・シャンベルタン・プルミエ・クリュ・レ・カズティエ","984","11","204"
"Languedoc","ラングドック地方","3","1","Mas Jullien","マ・ジュリアン","2011","7500","Vin de Pays de l’Herauit","ヴァン・ド・ペイ・ド・レロー","985","15","1"
"Vallée de la Loire / Pays Nantais","ロワール河流域  /  ペイ・ナント地区","3","1","Dom. Poiron Dabin","ドメーヌ・ポワロン・ダバン","2004","6500","Muscadet Sèrve & Maine Sur Lie Grande Réserve","ミュスカデ・セーヴル・エ・メーヌ・シュール・リー・グラン・レゼルブ","986","8","2"
"Vallée de la Loire / Pays Nantais","ロワール河流域  /  ペイ・ナント地区","3","1","Dom. Poiron Dabin","ドメーヌ・ポワロン・ダバン","2007","6500","Muscadet Sèrve & Maine Sur Lie Chateau-Thébaud","ミュスカデ・セーヴル・エ・メーヌ・シュール・リー・シャトー・テボー","987","8","2"
"Bourgogne / Chablis","ブルゴーニュ地方 / シャブリ地区","3","1","Dom. René et Vincent Dauvissat","ドメーヌ・ルネ・エ・ヴァンサン・ドゥーヴィサ","2012","16000","Chablis Grand Cru les Clos","シャブリ・グラン・クリュ・レ・クロ","988","11","1"
"Bourgogne / Chablis","ブルゴーニュ地方 / シャブリ地区","3","1","Dom. René et Vincent Dauvissat","ドメーヌ・ルネ・エ・ヴァンサン・ドゥーヴィサ","2012","9800","Chablis 1er Cru la Foret","シャブリ・プルミエ・クリュ・ラ・フォレ","989","11","1"
"Bourgogne / Chablis","ブルゴーニュ地方 / シャブリ地区","3","1","Dom. René et Vincent Dauvissat","ドメーヌ・ルネ・エ・ヴァンサン・ドゥーヴィサ","2012","9800","Chablis 1er Cru Vaillons","シャブリ・プルミエ・クリュ・ヴァイヨン","990","11","1"
"Bourgogne / Chablis","ブルゴーニュ地方 / シャブリ地区","3","1","Dom. René et Vincent Dauvissat","ドメーヌ・ルネ・エ・ヴァンサン・ドゥーヴィサ","2012","7800","Chablis ","シャブリ","991","11","1"
"Piemonte","ピエモンテ州","3","5","Castellari Bergaglio","カステッラーリ・ベルガーリオ","2013","4800","D.O.C.G. Gavi Salluvii","D.O.C.G. ガヴィ・サッルヴィイ","992","20","5"
"Vallée de la Loire / Centre","ロワール河流域 / 中央フランス地区","3","1","Dom. François Cotat","ドメーヌ・フランソワ・コタ","2006","16900","Sancerre Cuvée Paul","サンセール・キュヴェ・ポール","993","8","304"
"Mosel-Saar-Ruwer","モーゼル・ザール・ルーヴァー","3","3","Weingut Van Volxem","ヴァイングット・ファン・フォルクセン","2012","6000","Wiltinger Braunfels Reisling","ヴィルティンガー・ブラウンフェルス・リースリング","994","18","1"
"Mosel-Saar-Ruwer","モーゼル・ザール・ルーヴァー","3","3","Weingut Van Volxem","ヴァイングット・ファン・フォルクセン","2012","6950","Scharzhofberger Reisling","シャルツホフベルガー・リースリング","995","18","1"
"Piemonte","ピエモンテ州","3","5","Castellari Bergaglio","カステッラーリ・ベルガーリオ","2012","5000","D.O.C.G. Gavi del Comune di Tassarolo Forinaci ","D.O.C.G. ガヴィ・デル・コムーネ・ディ・タッサローロ・フォルナーチ","996","20","5"
"Piemonte","ピエモンテ州","3","5","Castellari Bergaglio","カステッラーリ・ベルガーリオ","2012","5200","D.O.C.G. Gavi del Comune di Gavi Rolona ","D.O.C.G. ガヴィ・デル・コムーネ・ディ・ガヴィ・ロローナ","997","20","5"
"Torentino Alto-Adige","トレンティーノ・アルト・アディジェ州","5","5","Franz Haaz","フランツ・ハース","2010","9850","D.O.C. Alto Adige Pinot Nero Schweizer","D.O.C. アルト・アディジェ・ピノ・ネーロ・シュヴァイツアー","998","20","0"
"Torentino Alto-Adige","トレンティーノ・アルト・アディジェ州","3","5","Franz Haaz","フランツ・ハース","2012","7150","I.G.T. Vigneto delle Dolomiti Manna","I.G.T.ヴィニェーティ・デッレ・ドロミティ・マンナ","999","20","0"
"Torentino Alto-Adige","トレンティーノ・アルト・アディジェ州","5","5","Franz Haaz","フランツ・ハース","2011","4850","I.G.T. Vigneto delle Dolomiti Sofi Schiava","I.G.T.ヴィニェーティ・デッレ・ドロミティ・ソフィ・スキアーヴァ","1000","20","0"
